site_id,location_id,brand,name,state,city,truck_parking_spaces,prior_disposition,bucket,db_id,evidence,reason
0019,214,TA,TA Elkton,MD,Elkton,151,manual-review-merge,safe-enrichment,f35c37d4-6118-40c1-8380-1edf8e79777d,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical+coordinate_0m,existing row is missing parking_spaces; blank-only fill prepared from the official master
0022,5009,TA,TA Willington,CT,Willington,240,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0023,5004,TA,TA Santa Rosa,NM,Santa Rosa,116,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0024,118,TA,TA London,OH,London,138,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0025,5039,TA,TA Spartanburg,SC,Duncan,187,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0026,5007,Petro,Petro Ontario,CA,Ontario,559,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0028,5017,TA,TA Walton,KY,Walton,60,existing-match,safe-enrichment,dee17bfa-a6bf-4da0-8d48-95a9231de439,site_id->prior-review-exact-production-id+street-number-agrees,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0029,189,TA,TA Kingsville,OH,Kingsville,158,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0030,5012,TA,TA Chicago North,IL,Zion,215,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0032,5047,TA,TA Wheeling,WV,Valley Grove,168,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0033,5006,TA,TA Earle,AR,Earle,137,manual-review-merge,safe-enrichment,3e5fef77-bc72-4174-b45d-04f6096c8fde,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,"existing row is missing lat, lng, parking_spaces; blank-only fill prepared from the official master"
0035,5001,TA,TA Effingham,IL,Effingham,137,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0036,5032,TA,TA Oklahoma City East,OK,Oklahoma City,175,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0039,186,TA,TA Hebron,OH,Hebron,130,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0041,5050,TA,TA Coachella,CA,Coachella,205,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0043,319,TA,TA Mt Vernon,IL,Mt. Vernon,136,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0044,342,TA,TA Elgin,IL,Hampshire,92,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0045,676,TA,TA Madison,GA,Madison,149,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0046,785,TA,TA Tallulah,LA,Tallulah,135,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0047,756,TA,TA Meridian,MS,Meridian,90,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0048,212,TA,TA Bloomsbury,NJ,Bloomsbury,122,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0049,729,TA,TA Rockwall,TX,Rockwall,100,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0050,307,TA,TA Madison,WI,DeForest,118,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0051,701,TA,TA Matthews,MO,Matthews,114,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0052,317,TA,TA Oak Grove,MO,Oak Grove,118,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0053,656,TA,TA Wildwood,FL,Wildwood,170,manual-review-merge,safe-enrichment,245d9e0f-cb95-461e-822a-e458c03212ed,site_id->prior-review-exact-production-id+street-number-agrees,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0054,778,TA,TA Mobile,AL,Grand Bay,89,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0055,5073,TA,TA Amarillo,TX,Amarillo,185,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0056,435,TA,TA Aurora,OR,Aurora,275,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0057,433,TA,TA Redding,CA,Redding,196,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0058,120,TA,TA Youngstown,OH,Youngstown,145,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0059,709,TA,TA Oklahoma City West,OK,Oklahoma City,101,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0060,425,TA,TA Tooele,UT,Salt Lake City,191,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0065,5014,TA,TA Seymour,IN,Seymour,184,existing-match,safe-enrichment,b9b49d33-ae7d-4ca0-b197-6986c17eef18,site_id->prior-review-exact-production-id+street-number-agrees,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0066,528,TA,TA Council Bluffs,IA,Council Bluffs,78,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0067,5034,TA,TA Barkeyville,PA,Harrisville,112,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0068,5038,TA,TA Lamar,PA,Lamar,168,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0069,5019,TA,TA Monroe,MI,Monroe,156,manual-review-merge,safe-enrichment,7b340f8f-28fc-4bca-83a8-bee8a793a4fb,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0071,5048,TA,TA Janesville,WI,Janesville,96,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0077,5015,TA,TA Walcott,IA,Walcott,900,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0081,424,TA,TA Albuquerque,NM,Albuquerque,150,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0082,5082,TA,TA Wapakoneta,OH,Wapakoneta,145,manual-review-merge,safe-enrichment,51296b6f-d325-4a97-a48f-d7a315a5e7e0,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0087,178,TA,TA Toledo,OH,Perrysburg,177,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0089,312,TA,TA Ann Arbor,MI,Dexter,203,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0090,502,TA,TA Ogallala,NE,Ogallala,94,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0091,5091,TA,TA Oakley,KS,Oakley,84,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0092,322,TA,TA Bloomington,IL,Bloomington,160,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0093,5072,TA,TA Florence,KY,Florence,123,existing-match,safe-enrichment,eec1d852-2b50-47f7-a59e-b1238f1ace2d,site_id->prior-review-exact-production-id+street-number-agrees,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0094,439,TA,TA Kingman,AZ,Kingman,115,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0095,104,TA,TA North Canton,OH,Canton,85,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0108,421,TA,TA Las Vegas,NV,Las Vegas,144,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0116,384,TA,TA Sawyer,MI,Sawyer,155,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0117,768,TA,TA Antioch,TN,Antioch,122,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0137,310,TA,TA Strafford,MO,Strafford,140,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0139,187,TA,TA Jeffersonville,OH,Jeffersonville,144,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0142,210,TA,TA Richmond,VA,Ashland,317,manual-review-merge,safe-enrichment,7a03c1f5-6b4d-4951-98a2-a3e752d2270b,name+city+state+zip5 (prior review linked the wrong row; verify before publish),"existing row is missing lat, lng, parking_spaces; blank-only fill prepared from the official master"
0143,217,TA,TA Wytheville,VA,Wytheville,114,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0146,5071,TA,TA Cartersville,GA,Cartersville,212,manual-review-merge,exact-match,0f848a8a-9f2f-4e89-bed3-97d656bcd25d,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_25m,existing row already carries everything the master states
0147,5076,TA,TA San Antonio,TX,San Antonio,238,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0148,5070,TA,TA Commerce City,CO,Commerce City,224,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0149,198,TA,TA Hurricane,WV,Hurricane,76,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0150,5078,TA,TA Dallas South,TX,Dallas,136,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0151,5018,TA,TA Baltimore South,MD,Jessup,436,manual-review-merge,safe-enrichment,ff19357b-eb93-4483-9e4e-ebb40e07fe36,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical+coordinate_0m,existing row is missing parking_spaces; blank-only fill prepared from the official master
0152,5074,TA,TA Sayre,OK,Sayre,101,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0153,6153,TA,TA Laredo,TX,Laredo,336,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0154,5079,TA,TA Southington,CT,Milldale,145,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0156,677,TA,TA Commerce,GA,Commerce,89,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0158,5084,TA Express,TA Express Tampa,FL,Seffner,81,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0160,429,TA,TA Buttonwillow,CA,Buttonwillow,170,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0161,770,TA,TA Lafayette,LA,Lafayette,128,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0162,417,TA,TA Ontario,CA,Ontario,549,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0163,431,TA,TA Santa Nella,CA,Santa Nella,216,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0167,5053,TA,TA Boise,ID,Boise,171,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0170,6170,TA,TA Livingston,CA,Livingston,102,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0171,115,TA Express,TA Express New Haven,CT,Branford,75,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0172,428,TA,TA Sparks,NV,Sparks,200,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0173,306,TA,TA Whitestown,IN,Whitestown,169,manual-review-merge,safe-enrichment,0fd1e82b-0a8e-410b-9af9-8787d6ab89b8,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0174,432,TA,TA Wheat Ridge,CO,Wheat Ridge,116,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0175,315,TA,TA Foristell,MO,Foristell,95,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0176,5087,TA,TA Seattle East,WA,North Bend,140,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0177,604,TA,TA Savannah,GA,Richmond Hill,222,manual-review-merge,safe-enrichment,6bad6451-4f76-45b8-9a3b-4a1aad414f83,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_150m,existing row is missing parking_spaces; blank-only fill prepared from the official master
0178,605,TA,TA Marianna,FL,Marianna,123,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0179,213,TA,TA Manning,SC,Manning,84,manual-review-merge,safe-enrichment,b621363d-e4d4-40c6-a04d-09e950264b12,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_102m,existing row is missing parking_spaces; blank-only fill prepared from the official master
0180,725,TA,TA Slidell,LA,Slidell,111,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0181,5058,TA,TA Mill City,NV,Mill City,152,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0183,5060,TA,TA Troutdale,OR,Troutdale,240,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0186,5064,TA Express,TA Express Parowan,UT,Parowan,90,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0187,5065,TA,TA Cheyenne,WY,Burns,140,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0188,5067,TA,TA Ft. Bridger,WY,Ft. Bridger,165,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0193,512,TA,TA Grand Island,NE,Alda,82,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0194,102,TA,TA Pembroke,NY,Corfu,132,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0197,672,TA,TA Vero Beach,FL,Vero Beach,162,manual-review-merge,safe-enrichment,7d74bb54-f22d-4594-8bc8-9d9710f88ac0,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_121m,existing row is missing parking_spaces; blank-only fill prepared from the official master
0199,5199,TA,TA Troy,IL,Troy,92,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0201,6201,TA,TA Davy Crockett Travel Center,TN,Greeneville,245,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0207,6207,TA,TA Binghamton,NY,Binghamton,125,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0208,6208,TA,TA Dansville,NY,Dansville,102,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0210,6210,TA,TA Maybrook,NY,Montgomery,160,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0211,6211,TA,TA Greenland,NH,Greenland,72,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0212,6212,TA,TA Bloomsburg,PA,Bloomsburg,190,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0213,6213,TA,TA Greencastle,PA,Greencastle,190,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0214,6214,TA,TA Milesburg,PA,Milesburg,122,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0215,6215,TA,TA Harborcreek,PA,Erie,266,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0216,6216,TA,TA Baltimore,MD,Baltimore,181,manual-review-merge,safe-enrichment,e102d6bd-874c-43d0-b9f6-c8a9dbbe4832,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical+coordinate_0m,existing row is missing parking_spaces; blank-only fill prepared from the official master
