rank,business_name,city,state,category,corridor,exit_number,directory_url,category_page,corridor_page,first_ask,recommended_paid_offer,paid_offer_rationale,billing_recommendation,billing_rationale,category_corridor_value,official_website,public_phone,public_email,evidence_source,confidence,first_contact_channel,multi_site_in_our_data,opening_sentence,page_indexable,page_signals,score,listing_id
11,Colony Tire Corporation - Rocky Mount,Rocky Mount,NC,tire-repair,I-95,145,/directory/location/colony-tire-corporation-rocky-mount-rocky-mount-nc,/directory/tire-repair,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,"You and your Emporia store are both on our I-95 tire pages, one state apart — Rocky Mount at Exit 145 and Emporia at Exit 11.",yes,5,12,469dadae-9ba0-4f80-aacf-eb83ca8efc25
12,McGee Commercial Tire & Service - Hickory,Hickory,NC,tire-repair,I-40,,/directory/location/mcgee-commercial-tire-service-hickory-hickory-nc,/directory/tire-repair,/directory/i40,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,to source,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,website contact form (site is on the listing),no,You're our I-40 tire listing in Hickory with 24-hour road service noted — I want to be sure that is still right.,yes,4,12,3ec4da2b-9df7-4bba-913c-c6023b9797ca
13,Colony Tire & Service,Emporia,VA,tire-repair,I-95,11,/directory/location/colony-tire-service-emporia-va,/directory/tire-repair,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,"Emporia at Exit 11 and your Rocky Mount store at Exit 145 are both on our I-95 tire pages, so one conversation covers both.",yes,5,12,6da51cc0-fd95-4dd9-b43e-a677ea9ccec3
14,Highway Transport Chemical Tank Wash,Florence,KY,truck-washes,I-75,180,/directory/location/highway-transport-chemical-tank-wash-florence-ky,/directory/truck-washes,/directory/i75,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,annual,multi-site operator — annual is the cheaper unit and matches a planned budget,"Planned, repeated spend; a driver washing on this corridor washes on it again.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),yes,,yes,4,12,d6097cf6-67ee-4259-bd01-c63af2c6bc0f
15,Wildwood Truck Repair & Wrecker Service,Wildwood,FL,roadside-service,I-75,329,/directory/location/wildwood-truck-repair-wrecker-service-wildwood-fl,/directory/roadside-service,/directory/i75,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory",Driver is already stopped and cannot move; the first callable listing wins the job.,to source,to source,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",low,manual sourcing queue — we hold no phone or site,no,,yes,3,11,7de48d80-bca0-454b-b71e-71385ae9c6e5
16,Martino Commercial Tire,West Palm Beach,FL,tire-repair,I-95,,/directory/location/martino-commercial-tire-west-palm-beach-fl,/directory/tire-repair,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,You and Pat's Tire are both on our West Palm Beach I-95 tire page — I built both listings from public information and I want them right.,yes,5,11,738937f9-3b6d-44d2-9c1e-61ce6e0c43dc
17,Pat's Tire,West Palm Beach,FL,tire-repair,I-95,,/directory/location/pat-s-tire-west-palm-beach-fl,/directory/tire-repair,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,"You and Martino are both on our West Palm Beach I-95 tire page, built from public information — can you check yours?",yes,5,11,7dd25bf6-0e6b-40f2-b2f8-6f84541b781f
18,Southern Tire & Fleet Service,Jacksonville,FL,tire-repair,I-95,,/directory/location/southern-tire-fleet-service-jacksonville-fl,/directory/tire-repair,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,"You're our Jacksonville I-95 tire listing, which is what a driver finds when a trailer tire goes on the way to the port.",yes,5,11,d4513e91-e3b9-43ab-8e65-0d7d1580773f
19,Southern Tire Mart #165,Atlanta,GA,tire-repair,,,/directory/location/southern-tire-mart-165-atlanta-ga,/directory/tire-repair,,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,annual,multi-site operator — annual is the cheaper unit and matches a planned budget,"Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),yes,"Your Fulton Industrial store and your Knoxville #230 store are both on our tire pages, so I'd rather talk to you once about both.",yes,5,11,f1d1bc65-60ea-43df-87b4-266985431b30
20,Kenly 95 Truck Service Center,Kenly,NC,tire-repair,I-95,106,/directory/location/kenly-95-truck-service-center-kenly-nc,/directory/tire-repair,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,to source,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,website contact form (site is on the listing),no,Your service centre is listed separately from the Kenly 95 plaza on our I-95 page at Exit 106 — worth checking I split those two correctly.,yes,4,11,7c5326e4-da4c-4e5b-a0cd-48b3efd82863
21,Southern Tire Mart #230 - Knoxville,Knoxville,TN,tire-repair,,,/directory/location/southern-tire-mart-230-knoxville-knoxville-tn,/directory/tire-repair,,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,annual,multi-site operator — annual is the cheaper unit and matches a planned budget,"Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),yes,Store #230 in Knoxville and your Atlanta #165 store are both on our tire pages — one conversation for the pair.,yes,5,11,85a4e108-aa86-4a0f-8bd2-aa595ed5c6a2
22,Service Tire Truck Center (STTC) Fredericksburg,Fredericksburg,VA,tire-repair,I-95,130,/directory/location/service-tire-truck-center-sttc-fredericksburg-fredericksburg-va,/directory/tire-repair,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,to source,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,website contact form (site is on the listing),no,You're the I-95 tire listing at Exit 130 in Fredericksburg on our directory.,yes,4,11,be40a471-cbe3-4486-9c3d-daa610788abd
23,Superior Wash,Sharonville,OH,truck-washes,I-75,15,/directory/location/superior-wash-sharonville-oh,/directory/truck-washes,/directory/i75,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Planned, repeated spend; a driver washing on this corridor washes on it again.",to source,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,phone (number is on the listing),no,,yes,3,11,9acc0450-cc55-4324-92b7-85d68f4e4b0b
24,Toledo Tank Wash,Toledo,OH,truck-washes,I-75,207,/directory/location/toledo-tank-wash-toledo-oh,/directory/truck-washes,/directory/i75,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Planned, repeated spend; a driver washing on this corridor washes on it again.",to source,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,phone (number is on the listing),no,,yes,3,11,f393fa83-15a7-4d7c-9f98-4440c77db4c8
25,Highway Transport Chemical Tank Wash,Knoxville,TN,truck-washes,I-40,,/directory/location/highway-transport-chemical-tank-wash-knoxville-tn,/directory/truck-washes,/directory/i40,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,annual,multi-site operator — annual is the cheaper unit and matches a planned budget,"Planned, repeated spend; a driver washing on this corridor washes on it again.",to source,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,phone (number is on the listing),yes,,yes,3,11,4212adfe-4234-48bc-aa89-73a1d0ca09a8
