rank_category,business_name,city,state,corridor,exit_number,directory_url,category_page,corridor_page,why_commercially_valuable,sponsorship_or_claim_opportunity,listing_id
tire-repair,Best-One Tire of Knoxville,Knoxville,TN,,,/directory/location/best-one-tire-of-knoxville-knoxville-tn,/directory/tire-repair,,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,e808cd20-757a-42c2-b9ed-fbf02e964b3e
tire-repair,Snider Fleet Solutions - Chattanooga,Chattanooga,TN,,,/directory/location/snider-fleet-solutions-chattanooga-chattanooga-tn,/directory/tire-repair,,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,8954f3e6-074f-40a5-b8b5-d960808ab94d
tire-repair,Southern Tire Mart #230 - Knoxville,Knoxville,TN,,,/directory/location/southern-tire-mart-230-knoxville-knoxville-tn,/directory/tire-repair,,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,85a4e108-aa86-4a0f-8bd2-aa595ed5c6a2
tire-repair,Colony Tire & Service,Emporia,VA,I-95,11,/directory/location/colony-tire-service-emporia-va,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,6da51cc0-fd95-4dd9-b43e-a677ea9ccec3
tire-repair,Service Tire Truck Center (STTC) Fredericksburg,Fredericksburg,VA,I-95,130,/directory/location/service-tire-truck-center-sttc-fredericksburg-fredericksburg-va,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,be40a471-cbe3-4486-9c3d-daa610788abd
roadside-service,Diesel Truck Repairs,Brinkley,AR,I-40,216,/directory/location/diesel-truck-repairs-brinkley-ar,/directory/roadside-service,/directory/i40,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,e945424b-b704-4e3e-9eaa-0ed1ba82fb98
roadside-service,All Hooked Up Towing & Recovery,Jupiter,FL,I-95,87A,/directory/location/all-hooked-up-towing-recovery-jupiter-fl,/directory/roadside-service,/directory/i95,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,8f2aedd7-e4a2-40b8-98c0-22c027127390
roadside-service,Wildwood Truck Repair & Wrecker Service,Wildwood,FL,I-75,329,/directory/location/wildwood-truck-repair-wrecker-service-wildwood-fl,/directory/roadside-service,/directory/i75,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,7de48d80-bca0-454b-b71e-71385ae9c6e5
roadside-service,Dynamic Diesel Solutions,Brunswick,GA,I-95,29,/directory/location/dynamic-diesel-solutions-brunswick-ga,/directory/roadside-service,/directory/i95,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,c46096bc-5104-421a-8170-22a88bfea17f
roadside-service,Tim's Towing & Recovery,Savannah,GA,I-95,,/directory/location/tim-s-towing-recovery-savannah-ga,/directory/roadside-service,/directory/i95,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,27a1a923-bb4b-4022-bdd5-d0397249ed58
roadside-service,Gary Mobile On-Site Truck & Trailer Repair,Gary,IN,I-65,,/directory/location/gary-mobile-on-site-truck-trailer-repair-gary-in,/directory/roadside-service,/directory/i65,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,605eb2aa-f167-4118-b720-5e470775c93d
roadside-service,C-R Road Service,Lumberton,NC,I-95,17,/directory/location/c-r-road-service-lumberton-nc,/directory/roadside-service,/directory/i95,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,c8a6032f-6f28-430d-acc6-6fb11667529d
roadside-service,Hollifields Diesel,Marion,NC,I-40,,/directory/location/hollifields-diesel-marion-nc,/directory/roadside-service,/directory/i40,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,cd88c617-b2ec-4c4e-80ba-6ba6f80de3fb
roadside-service,Impact Truck and Trailer,Cookeville,TN,I-40,287,/directory/location/impact-truck-and-trailer-cookeville-tn,/directory/roadside-service,/directory/i40,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,910b954b-022b-4076-90dd-ef5e144fa3ef
roadside-service,"Thompson Truck Group - Cookeville (International dealer, former Landmark International)",Cookeville,TN,I-40,288,/directory/location/thompson-truck-group-cookeville-international-dealer-former-landmark-international-cookeville-tn,/directory/roadside-service,/directory/i40,Highest-urgency category; the listing is chosen at the moment of breakdown.,claimed listing + priority placement in roadside-service results,50c54637-cbc4-4afc-95f4-10e946870d06
truck-washes,"Qualawash / tank trailer wash, Saraland",Saraland,AL,I-65,13,/directory/location/qualawash-tank-trailer-wash-saraland-saraland-al,/directory/truck-washes,/directory/i65,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,48f3af5a-620d-4a44-9dd5-96210e2b3e39
truck-washes,Truck Wash at Jack's Truck Stop,Cullman,AL,I-65,304,/directory/location/truck-wash-at-jack-s-truck-stop-cullman-al,/directory/truck-washes,/directory/i65,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,0e24e007-db84-40db-bfc1-222e5d0eebad
truck-washes,CMJ Truck Wash,Port Wentworth,GA,I-95,109,/directory/location/cmj-truck-wash-port-wentworth-ga,/directory/truck-washes,/directory/i95,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,4e347a10-336f-40d4-9ef0-e48a91eca38a
truck-washes,First American Truck Wash and Chrome Shop,Georgetown,KY,I-75,,/directory/location/first-american-truck-wash-and-chrome-shop-georgetown-ky,/directory/truck-washes,/directory/i75,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,5b586188-4b1d-455f-931c-8157582a9f92
truck-washes,Highway Transport Chemical Tank Wash,Florence,KY,I-75,180,/directory/location/highway-transport-chemical-tank-wash-florence-ky,/directory/truck-washes,/directory/i75,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,d6097cf6-67ee-4259-bd01-c63af2c6bc0f
truck-washes,C-R Road Service Truck & Trailer Wash,Lumberton,NC,I-95,17,/directory/location/c-r-road-service-truck-trailer-wash-lumberton-nc,/directory/truck-washes,/directory/i95,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,f4967041-7344-4787-9573-c5c7bdf7e538
truck-washes,Superior Wash,Sharonville,OH,I-75,15,/directory/location/superior-wash-sharonville-oh,/directory/truck-washes,/directory/i75,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,9acc0450-cc55-4324-92b7-85d68f4e4b0b
truck-washes,Toledo Tank Wash,Toledo,OH,I-75,207,/directory/location/toledo-tank-wash-toledo-oh,/directory/truck-washes,/directory/i75,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,f393fa83-15a7-4d7c-9f98-4440c77db4c8
truck-washes,Elite Trailer Sales & Service (Elite Truck and Tank Wash),Nashville,TN,I-40,,/directory/location/elite-trailer-sales-service-elite-truck-and-tank-wash-nashville-tn,/directory/truck-washes,/directory/i40,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,b1a240d4-a067-4094-83b1-6bd6fc63f308
truck-washes,Highway Transport Chemical Tank Wash,Knoxville,TN,I-40,,/directory/location/highway-transport-chemical-tank-wash-knoxville-tn,/directory/truck-washes,/directory/i40,"Repeat, route-planned spend; drivers choose a wash by corridor position.",claimed listing + corridor sponsorship,4212adfe-4234-48bc-aa89-73a1d0ca09a8
cat-scales,CAT Scale at TA Vero Beach,Vero Beach,FL,I-95,147,/directory/location/cat-scale-at-ta-vero-beach-vero-beach-fl,/directory/cat-scales,/directory/i95,High search intent ('CAT scale near me'); anchors its corridor/exit page.,claimed listing (host-site upsell),b25603ec-f8d8-415f-a1a6-0ba3d4b616c4
cat-scales,CAT Scale at Petro Kingsland (#344),Kingsland,GA,I-95,3,/directory/location/cat-scale-at-petro-kingsland-344-kingsland-ga,/directory/cat-scales,/directory/i95,High search intent ('CAT scale near me'); anchors its corridor/exit page.,claimed listing (host-site upsell),4e5234b6-1305-4705-941d-ec5a77370983
cat-scales,CAT Scale at TA Savannah,Richmond Hill,GA,I-95,87,/directory/location/cat-scale-at-ta-savannah-richmond-hill-ga,/directory/cat-scales,/directory/i95,High search intent ('CAT scale near me'); anchors its corridor/exit page.,claimed listing (host-site upsell),9f3e2546-35b1-4aa4-a738-c98b944696e6
cat-scales,CAT Scale at Petro Florence,Florence,SC,I-95,164,/directory/location/cat-scale-at-petro-florence-florence-sc,/directory/cat-scales,/directory/i95,High search intent ('CAT scale near me'); anchors its corridor/exit page.,claimed listing (host-site upsell),595de56a-aada-4034-882b-60a2fd579ab3
cat-scales,CAT Scale at TA Manning,Manning,SC,I-95,119,/directory/location/cat-scale-at-ta-manning-manning-sc,/directory/cat-scales,/directory/i95,High search intent ('CAT scale near me'); anchors its corridor/exit page.,claimed listing (host-site upsell),4c1a72f9-a863-484e-ae1d-600e8bd8b7a0
cat-scales,CAT Scale at TA Express Stony Creek,Stony Creek,VA,I-95,33,/directory/location/cat-scale-at-ta-express-stony-creek-stony-creek-va,/directory/cat-scales,/directory/i95,High search intent ('CAT scale near me'); anchors its corridor/exit page.,claimed listing (host-site upsell),8e79a54d-cad6-460c-9fd5-d5d118342bd3
truck-stops,Jack's Truck Stop,Cullman,AL,I-65,304,/directory/location/jack-s-truck-stop-cullman-al,/directory/truck-stops,/directory/i65,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,f972d0f0-b603-4694-824f-36718afa596b
truck-stops,Flash Market #123,North Little Rock,AR,I-40,157,/directory/location/flash-market-123-north-little-rock-ar,/directory/truck-stops,/directory/i40,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,b440672c-2cac-41cc-b748-a2c6867dbd67
truck-stops,Gators Truck Stop,Vero Beach,FL,I-95,147,/directory/location/gators-truck-stop-vero-beach-fl,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,fc04797c-a678-4c56-b78a-0b8b8ec49cc1
truck-stops,TA Vero Beach #197,Vero Beach,FL,I-95,147,/directory/location/ta-vero-beach-197-vero-beach-fl,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,7d74bb54-f22d-4594-8bc8-9d9710f88ac0
truck-stops,A-1 Truck Stop,Ashburn,GA,I-75,84,/directory/location/a-1-truck-stop-ashburn-ga,/directory/truck-stops,/directory/i75,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,f89415ea-400b-4f6a-954b-7e920013cf4a
truck-stops,America's Truck Stop,Atlanta,GA,I-75,,/directory/location/america-s-truck-stop-atlanta-ga,/directory/truck-stops,/directory/i75,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,096dd2fe-80a1-441b-a700-dbea8e1455c2
truck-stops,El Cheapo #50,Midway,GA,I-95,76,/directory/location/el-cheapo-50-midway-ga,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,ee7f6f07-8fff-46dd-9e26-f10766f115a1
truck-stops,Petro Stopping Center #344 (TA/Petro Kingsland),Kingsland,GA,I-95,3,/directory/location/petro-stopping-center-344-ta-petro-kingsland-kingsland-ga,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,36d48fe4-d2ce-4d99-987a-9e8341644b7a
truck-stops,TA Savannah (TravelCenters of America #177),Richmond Hill,GA,I-95,87,/directory/location/ta-savannah-travelcenters-of-america-177-richmond-hill-ga,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,6bad6451-4f76-45b8-9a3b-4a1aad414f83
truck-stops,TA Travel Center Brunswick,Brunswick,GA,I-95,29,/directory/location/ta-travel-center-brunswick-brunswick-ga,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,28c41568-118b-4e1f-aee1-469f8a634af9
truck-stops,Clays Ferry Travel Center,Richmond,KY,I-75,97,/directory/location/clays-ferry-travel-center-richmond-ky,/directory/truck-stops,/directory/i75,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,ca06adc7-efad-41a5-9da7-e074fc99a452
truck-stops,Fast Track (Hildebran),Hildebran,NC,I-40,119,/directory/location/fast-track-hildebran-hildebran-nc,/directory/truck-stops,/directory/i40,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,7d2aff0a-c2d6-4a14-96d6-6fb5eee5aaa2
truck-stops,Oasis Travel Center (Lakewood Landing),Halifax,NC,I-95,168,/directory/location/oasis-travel-center-lakewood-landing-halifax-nc,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,e2d59ea7-f110-4411-809a-0cbce128191e
truck-stops,Petro Kenly 95 #395,Kenly,NC,I-95,106,/directory/location/petro-kenly-95-395-kenly-nc,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,0a0c7a0d-2fb0-4201-a93f-b934e2617b5b
truck-stops,Barney's Convenience Mart,Rossford,OH,I-75,195,/directory/location/barney-s-convenience-mart-rossford-oh,/directory/truck-stops,/directory/i75,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,12fa9201-e925-4e5c-8c73-6f1037cd4082
truck-stops,Hy-Miler (Mobil) Travel Center,Northwood,OH,I-75,198,/directory/location/hy-miler-mobil-travel-center-northwood-oh,/directory/truck-stops,/directory/i75,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,f12efc5b-1023-449c-b0b6-5b4df2dbadb1
truck-stops,NEU CLARK 24 Hour Truck Stop,Lima,OH,I-75,,/directory/location/neu-clark-24-hour-truck-stop-lima-oh,/directory/truck-stops,/directory/i75,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,63337a0c-f3e4-4af5-ae0c-ba30923c6f18
truck-stops,Petro / TA Florence (TravelCenters of America #195),Florence,SC,I-95,164,/directory/location/petro-ta-florence-travelcenters-of-america-195-florence-sc,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,8bf6630b-8c97-45c5-b219-f6b2e21d760a
truck-stops,TA Manning (TravelCenters of America #179),Manning,SC,I-95,119,/directory/location/ta-manning-travelcenters-of-america-179-manning-sc,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,b621363d-e4d4-40c6-a04d-09e950264b12
truck-stops,TA Express Stony Creek (former Davis Travel Center),Stony Creek,VA,I-95,33,/directory/location/ta-express-stony-creek-former-davis-travel-center-stony-creek-va,/directory/truck-stops,/directory/i95,"Independent stop competing with national chains for fuel, parking and food stops.",claimed listing + featured placement on its corridor/exit page,ebb8ad22-3283-4fc6-9918-66a8ef8ef9dd
parking,Truck & Trailer Parking - 1849 Summer St (Hammond),Hammond,IN,I-65,,/directory/location/truck-trailer-parking-1849-summer-st-hammond-hammond-in,/directory/parking,/directory/i65,Paid-parking operator; scarcity on the corridor makes placement valuable.,claimed listing + referral placement in parking results,53bc511f-3b30-4ac3-aed3-597e416f3f38
parking,Truck & Trailer Parking - 3870 Chase St (Gary),Gary,IN,I-65,,/directory/location/truck-trailer-parking-3870-chase-st-gary-gary-in,/directory/parking,/directory/i65,Paid-parking operator; scarcity on the corridor makes placement valuable.,claimed listing + referral placement in parking results,cf54cfb5-5556-4180-815e-ddeecc159719
parking,Truck & Trailer Parking - 5200 Cleveland St (Merrillville),Merrillville,IN,I-65,253,/directory/location/truck-trailer-parking-5200-cleveland-st-merrillville-merrillville-in,/directory/parking,/directory/i65,Paid-parking operator; scarcity on the corridor makes placement valuable.,claimed listing + referral placement in parking results,d7bc6a17-c3e3-408a-92a1-e403c30794a7
parking,Truck & Trailer Parking - 6800 W 9th Ave (Gary),Gary,IN,I-65,,/directory/location/truck-trailer-parking-6800-w-9th-ave-gary-gary-in,/directory/parking,/directory/i65,Paid-parking operator; scarcity on the corridor makes placement valuable.,claimed listing + referral placement in parking results,43a04cd8-4924-4c2d-8404-1bb132180ce8
parking,Truck & Trailer Parking - 743 131st Place (Hammond),Hammond,IN,I-65,,/directory/location/truck-trailer-parking-743-131st-place-hammond-hammond-in,/directory/parking,/directory/i65,Paid-parking operator; scarcity on the corridor makes placement valuable.,claimed listing + referral placement in parking results,cb0165c3-ad4e-448f-b5ea-7a87baef77a9
parking,Travel Store (Burma Rd),Nebo,NC,I-40,90,/directory/location/travel-store-burma-rd-nebo-nc,/directory/parking,/directory/i40,Paid-parking operator; scarcity on the corridor makes placement valuable.,claimed listing + referral placement in parking results,b9f278be-2aaa-4588-ba3b-843fe44fe91d
cdl-schools,CDL School Inc. - Jacksonville,Jacksonville,FL,I-95,,/directory/location/cdl-school-inc-jacksonville-jacksonville-fl,/directory/cdl-schools,/directory/i95,Enrollment-driven with high value per lead; schools compete on geography.,claimed listing + state/metro sponsorship,7f5d9778-61ef-40e4-aebb-b4a61d36347f
cdl-schools,Fayetteville Technical Community College CDL Program,Fayetteville,NC,I-95,,/directory/location/fayetteville-technical-community-college-cdl-program-fayetteville-nc,/directory/cdl-schools,/directory/i95,Enrollment-driven with high value per lead; schools compete on geography.,claimed listing + state/metro sponsorship,5ff9ec4c-0bb8-49ad-b411-e84e11644025
cdl-schools,Miller-Motte CDL Training (Fayetteville),Fayetteville,NC,I-95,,/directory/location/miller-motte-cdl-training-fayetteville-fayetteville-nc,/directory/cdl-schools,/directory/i95,Enrollment-driven with high value per lead; schools compete on geography.,claimed listing + state/metro sponsorship,b329619c-5f8f-4cdc-97f9-71cc089f535d
cdl-schools,SAGE Truck Driving School at Nash Community College,Rocky Mount,NC,I-95,138,/directory/location/sage-truck-driving-school-at-nash-community-college-rocky-mount-nc,/directory/cdl-schools,/directory/i95,Enrollment-driven with high value per lead; schools compete on geography.,claimed listing + state/metro sponsorship,38aadae7-1aa0-4cf4-a426-5d7659174852
cdl-schools,Florence-Darlington Technical College - CDL Training,Florence,SC,I-95,164,/directory/location/florence-darlington-technical-college-cdl-training-florence-sc,/directory/cdl-schools,/directory/i95,Enrollment-driven with high value per lead; schools compete on geography.,claimed listing + state/metro sponsorship,fa924e2a-0ffe-418f-851f-2f784856e91d
