slug,editorial_name,category,product_type,asin,verified_title,price_usd,rating,review_count,image_path
cb-antenna-kit,CB Antenna And Tuning Kit,electronics,cb-radio,,,,,,
ssb-cb-radio,Single Sideband CB Radio,electronics,cb-radio,,,,,,
handheld-cb-radio,Portable Handheld CB Radio,electronics,cb-radio,,,,,,
power-inverter,Dependable Mid-Size Pure Sine Inverter,electronics,power-inverter,,,,,,
high-output-pure-sine-inverter,High-Output Pure Sine Inverter,electronics,power-inverter,,,,,,
compact-pure-sine-inverter,Compact Pure Sine Inverter,electronics,power-inverter,,,,,,
hardwire-inverter-kit,Hardwired-To-Battery Inverter Kit,electronics,power-inverter,,,,,,
inverter-charger-combo,Inverter And Battery Charger Combo,electronics,power-inverter,,,,,,
modified-sine-inverter-budget,Budget Modified Sine Inverter,electronics,power-inverter,,,,,,
inverter-with-usb-and-outlets,Inverter With Outlets And USB Ports,electronics,power-inverter,,,,,,
usb-fast-charger,Multi-Port 12V USB Fast Charger,electronics,charger,,,,,,
high-watt-usb-c-charger,High-Wattage USB-C Charger,electronics,charger,,,,,,
rugged-truck-charger,Rugged Vibration-Resistant Truck Charger,electronics,charger,,,,,,
charging-station-organizer,Multi-Device Charging Station Organizer,electronics,charger,,,,,,
cab-storage-organizer,All-In-One Cab Storage Organizer,electronics,organization,,,,,,
seat-back-organizer,Seat-Back Hanging Organizer,electronics,organization,,,,,,
overhead-console-organizer,Overhead Console Organizer,electronics,organization,,,,,,
12v-cooler-fridge,12V Compressor Cooler Fridge,cab-kitchen,fridge,,,,,,
large-capacity-truck-fridge,Large Capacity Truck Fridge,cab-kitchen,fridge,,,,,,
dual-zone-truck-fridge,Dual-Zone Fridge and Freezer,cab-kitchen,fridge,,,,,,
compact-bunk-fridge,Compact Bunk Fridge,cab-kitchen,fridge,,,,,,
portable-freezer-fridge,Portable Freezer Fridge,cab-kitchen,fridge,,,,,,
low-draw-truck-fridge,Low-Draw Truck Fridge,cab-kitchen,fridge,,,,,,
fridge-with-battery-protection,Fridge With Battery Protection,cab-kitchen,fridge,,,,,,
12v-portable-cooker,12V Portable Cooker,cab-kitchen,electric-skillet,,,,,,
120v-electric-skillet,120V Electric Skillet,cab-kitchen,electric-skillet,,,,,,
12v-lunchbox-cooker,12V Lunchbox Cooker,cab-kitchen,electric-skillet,,,,,,
nonstick-electric-skillet,Nonstick Electric Skillet,cab-kitchen,electric-skillet,,,,,,
portable-slow-cooker,Portable Slow Cooker,cab-kitchen,electric-skillet,,,,,,
travel-rice-cooker,Travel Rice Cooker,cab-kitchen,electric-skillet,,,,,,
electric-hot-pot,Electric Hot Pot,cab-kitchen,electric-skillet,,,,,,
12v-coffee-maker,12V Coffee Maker,cab-kitchen,cab-cooking,,,,,,
truck-cookware-set,Truck Cookware Set,cab-kitchen,cab-cooking,,,,,,
collapsible-kettle,Collapsible Kettle,cab-kitchen,cab-cooking,,,,,,
insulated-food-container,Insulated Food Container,cab-kitchen,cab-cooking,,,,,,
seat-back-support,Strap-On Lumbar Support,comfort-sleep,seat-cushion,,,,,,
gel-seat-cushion,Cooling Gel Seat Cushion,comfort-sleep,seat-cushion,,,,,,
memory-foam-seat-cushion,Contouring Memory Foam Seat Cushion,comfort-sleep,seat-cushion,,,,,,
coccyx-relief-cushion,Tailbone Cutout Cushion,comfort-sleep,seat-cushion,,,,,,
wedge-posture-cushion,Angled Posture Wedge Cushion,comfort-sleep,seat-cushion,,,,,,
full-back-lumbar-system,Full-Back Lumbar Support System,comfort-sleep,seat-cushion,,,,,,
cooling-seat-cushion,Ventilated Cooling Seat Cushion,comfort-sleep,seat-cushion,,,,,,
memory-foam-topper,Bunk Memory Foam Topper,comfort-sleep,bedding,,,,,,
blackout-window-covers,Magnetic Blackout Window Covers,comfort-sleep,bedding,,,,,,
truck-bunk-mattress,Replacement Truck Bunk Mattress,comfort-sleep,bedding,,,,,,
trucker-pillow,Sleeper Cab Trucker Pillow,comfort-sleep,bedding,,,,,,
roadside-emergency-kit,All-In-One Roadside Emergency Kit,safety-emergency,dot-gear,,,,,,
fire-extinguisher,Mountable Cab Fire Extinguisher,safety-emergency,dot-gear,,,,,,
reflective-warning-triangles,Reflective Warning Triangle Set,safety-emergency,dot-gear,,,,,,
dot-first-aid-kit,Stocked Cab First-Aid Kit,safety-emergency,dot-gear,,,,,,
hi-vis-safety-vest,High-Visibility Reflective Safety Vest,safety-emergency,dot-gear,,,,,,
wheel-chock-set,Heavy-Duty Wheel Chock Set,safety-emergency,dot-gear,,,,,,
led-road-flares,Reusable LED Emergency Flares,safety-emergency,dot-gear,,,,,,
led-work-light,Rechargeable Magnetic LED Work Light,tools-maintenance,flashlight,,,,,,
rechargeable-flashlight,Everyday Rechargeable Handheld Flashlight,tools-maintenance,flashlight,,,,,,
headlamp,Hands-Free Repair Headlamp,tools-maintenance,flashlight,,,,,,
magnetic-underhood-light,Magnetic Under-Hood Bar Light,tools-maintenance,flashlight,,,,,,
tactical-flashlight,High-Output Compact Flashlight,tools-maintenance,flashlight,,,,,,
lantern-work-light,360-Degree Area Lantern,tools-maintenance,flashlight,,,,,,
pen-inspection-light,Slim Penlight for Pre-Trips,tools-maintenance,flashlight,,,,,,
tire-pressure-gauge,Heavy-Duty Dual-Head Truck Tire Gauge,tools-maintenance,tools,,,,,,
truck-tool-kit,Compact Roadside Tool Kit,tools-maintenance,tools,,,,,,
tire-thumper,Tire Thumper Billy,tools-maintenance,tools,,,,,,
cab-cleaning-wipes,Cab-Safe Cleaning Wipes,tools-maintenance,cleaning,,,,,,
truck-trash-can,Spill-Proof Cab Trash Can,tools-maintenance,cleaning,,,,,,
windshield-cleaning-kit,Extended-Reach Windshield Cleaning Kit,tools-maintenance,cleaning,,,,,,
travel-cpap-machine,Travel CPAP Machine,health-wellness,cpap,,,,,,
cpap-battery-pack,CPAP Battery Pack,health-wellness,cpap,,,,,,
cpap-cleaning-supplies,CPAP Cleaning Supplies,health-wellness,cpap,,,,,,
back-stretch-device,Back Stretch Device,health-wellness,health,,,,,,
compression-socks,Compression Socks,health-wellness,health,,,,,,
hydration-water-bottle,Hydration Water Bottle,health-wellness,health,,,,,,
trucker-work-gloves,Trucker Work Gloves,apparel-gear,apparel,,,,,,
slip-resistant-work-boots,Slip-Resistant Work Boots,apparel-gear,apparel,,,,,,
all-weather-duffel-bag,All-Weather Duffel Bag,apparel-gear,apparel,,,,,,
